NodeID,Installationsolar_V4,InstallationCostsolar_V4,GridPurchase,GridPurchaseCost,TotalO&MCost,TotalInstallationCost,TotalNodeCost,Installationsolar_V5,Installationwind_V0,Installationbattery_V0,InstallationCostsolar_V5,InstallationCostwind_V0,InstallationCostbattery_V0,PathGridPurchaseQuantity,PathBatteryInstallationQuantity,PathO&MCost,PathSalvageCost,PathGridPurchaseCost,PathInstallationCost,PathTotalCost,Installationsolar_V3,InstallationCostsolar_V3,Salvagesolar_V4,SalvageCostsolar_V4,TotalSalvageCost,Installationsolar_V1,InstallationCostsolar_V1
1,2.0,6.0960966937959995,113916594.10140166,15.01172640720977,0.36221874701262696,6.0960966937959995,21.470041848018397,,,,,,,,,,,,,,,,,,,,
2,,,29928531.151496213,3.4672855822081776,0.9453515860931792,33.96840577021771,38.381042938519066,4.0,3.0,40707.16595433724,15.195897813973168,10.51870117515842,8.253806781086121,,,,,,,,,,,,,,
3,1.0,2.275244918107837,47674555.06608301,5.397095022097258,0.6336458200666335,9.621378399800548,15.652119241964439,,1.0,32783.935607816326,,3.6861510727633107,3.659982408929401,,,,,,,,,,,,,,
4,,,36563832.42961247,4.192507884706798,0.7874381040091449,19.015416738267945,23.99536272698389,3.0,1.0,39030.83893170132,7.409615164354676,3.6861510727633107,7.919650501149957,,,,,,,,,,,,,,
5,,,42672139.61230076,4.817564236192284,0.5819287624937521,7.818932662720286,13.218425661406322,1.0,,45561.80189419577,2.676917156124366,,5.1420155065959205,,,,,,,,,,,,,,
6,,,889852.178010773,0.08986580038522043,1.3137793935894249,33.68258320846489,35.08622840243954,1.0,,292143.24496374844,2.7075433327779104,,30.975039875686978,144734977.43090862,332850.41091808566,2.621349726695231,0.0,18.568877789803167,73.74708567247859,94.937313188977,,,,,,,
7,,,2459422.4991958654,0.24686998591934253,1.2961184600946156,17.638932798397484,19.18192124441144,,,313521.07261321065,,,17.638932798397484,146304547.75209373,354228.2385675479,2.603688793200422,0.0,18.72588197533729,57.70343526241119,79.03300603094891,,,,,,,
8,,,1486580.582471969,0.15045903910720465,1.4272237044811513,29.86743423935279,31.445116982941144,5.0,,197479.88261240209,8.820113182715827,,21.04732105663696,145331705.83536983,238187.0485667393,2.7347940375869575,0.0,18.629471028525153,69.93193670336649,91.29620176947861,,,,,,,
9,,,2459422.4991958644,0.24686998591934256,1.2961184600946156,17.638932798397484,19.18192124441144,,,313521.07261321065,,,17.638932798397484,146304547.75209373,354228.2385675479,2.603688793200422,0.0,18.72588197533729,57.70343526241119,79.03300603094891,,,,,,,
10,,,6223278.949343925,0.6303483944539426,0.8574119959252036,32.28210643883023,33.76986682920938,3.0,2.0,325688.9194646764,8.902577540851393,4.567271610298116,18.812257287680726,167814428.1168286,358472.85507249273,1.853276563004464,0.0,21.03916982376097,47.99958153242678,70.89202791919222,,,,,,,
11,,,8148446.260215652,0.8183795545590065,0.8009121766791059,23.54998034458208,25.169272075820192,3.0,2.0,324825.43657273304,8.727250988003686,4.567271610298116,10.255457746280282,169739595.4277003,357609.37218054937,1.7967767437583664,0.0,21.227200983866034,39.26745543817863,62.29143316580303,,,,,,,
12,,,4852988.125534625,0.49019123783909146,0.9070933229147056,28.71631551052278,30.113600071276576,3.0,2.0,318689.5672220692,5.78838914770644,4.637899521797571,18.29002684101877,166444137.2930193,351473.5028298855,1.902957889993966,0.0,20.89901266714612,44.433790604119324,67.23576116125942,,,,,,,
13,,,5175082.280980966,0.5158555431183052,0.868240161928531,20.33391763090585,21.718013335952687,3.0,2.0,318250.67807345785,5.732831712746969,4.567271610298116,10.033814307860766,166766231.44846565,351034.6136812742,1.8641047290077917,0.0,20.924676972425335,36.0513927245024,58.84017442593553,,,,,,,
14,1.0,0.9531178576921757,2482133.471385403,0.25069348041479084,1.642747881113584,33.68258320846489,35.576024569993265,9.0,,148768.7528721711,16.844265562233506,,15.566189715775895,152962560.00239953,187799.59180387243,2.7924047321353562,0.0,19.45492777233136,58.794096640528835,81.04142914499555,1.0,0.319010072763315,,,,,
15,,,4503318.884997245,0.4538366044360051,1.014962463129815,23.855540695111298,25.32433976267712,1.0,2.0,303428.1227740768,1.8519144986490494,4.567271610298116,17.436354586164132,154983745.4160114,342458.96170577814,2.164619314151587,0.0,19.658070896352573,48.967054127175246,70.7897443376794,,,,,,,
16,,,5526723.801518916,0.5581287144715089,1.1144798387529427,26.34332724235824,27.93279198978026,10.0,,139995.98124549934,11.45983933398725,,14.883487908370988,156007150.33253306,179026.82017720066,2.2641366897747144,0.08314380580242917,19.762363006388075,51.45484067442219,73.39819656478254,,,1.0,0.08314380580242917,0.08314380580242917,,
17,,,5564989.871690818,0.5585587145631616,1.1996604033095521,18.77865729185306,20.536876409725775,9.0,,147144.0769781605,10.266915589835941,,8.51174170201712,156045416.40270495,186174.91590986183,2.349317254331324,0.0,19.76279300647973,43.89017072391701,66.00228098472806,,,,,,,
18,,,6423113.627773673,0.6463731175631882,0.8979897176225188,28.814814696269746,30.359177531455455,4.0,2.0,288438.41264794755,7.588131205629116,4.567271610298116,16.659411880342514,163011847.34147608,334000.21454214334,1.842137227128898,0.0,20.47566376096524,42.729844052786035,65.04764504088017,,,,,,,
19,1.0,1.07661312384563,7353410.492791599,0.737492337195539,0.7976459336412771,21.413482562271717,22.948620833108535,2.0,3.0,304298.894610828,3.7645943882182733,6.994347606842975,9.577927443364839,163942144.206494,349860.6965050238,1.7417934431476563,0.0,20.566782980597594,35.328511918788,57.637088342533254,,,,,,,
20,,,7220720.504075813,0.7259904511923982,1.0100613294021354,22.933728458108064,24.669780238702597,10.0,1.0,152068.81595314387,11.6084549389473,2.4270759965448594,8.816785999103002,163809454.21777824,197630.61784733966,1.9542088389085146,0.0,20.555281094594452,36.84875781462435,59.35824774812731,,,,,,13.0,0.08141152351290003
21,,,6679600.231409016,0.6650844653062354,0.8414898983764211,18.277051605050218,19.783625968732874,4.0,2.0,280526.55974757404,4.810802172311017,4.567271610298116,8.898977822441086,163268333.94511142,326088.3616417698,1.7856374078828003,0.0,20.49437510870829,32.192080961566504,54.47209347815759,,,,,,,
